date,item,unit_price,tax,transaction_amount,transaction_mode,transaction_currency
2023-11-12 19:11:57,difficult,42.22,3.66,137.64,UPI,INR
2023-08-29 17:57:38,read,99.14,6.59,211.46,debit card,INR
2024-01-31 01:37:47,the,87.14,11.26,984.0,debit card,USD
2023-10-12 09:31:52,institution,75.77,9.74,427.55,credit card,USD
2023-12-23 19:43:37,central,60.07,4.62,388.14,UPI,USD
2024-05-10 02:14:04,dinner,73.06,8.86,245.76,debit card,INR
2024-02-19 18:13:03,seem,87.29,6.93,659.54,UPI,USD
2024-01-22 13:31:38,worry,75.97,6.46,247.29,UPI,INR
2023-10-12 21:17:19,they,58.75,3.95,1125.6601108132727,debit card,USD
2024-03-21 14:39:09,Democrat,69.58,6.12,757.0,cash,INR
2024-04-15 15:17:37,thousand,50.35,5.31,278.3,cash,USD
2023-09-23 13:36:59,hold,62.74,6.66,694.0,debit card,USD
2023-12-26 18:09:44,lawyer,70.45,9.2,557.55,UPI,INR
2024-05-09 14:51:37,military,98.42,9.45,107.87,UPI,USD
2024-02-17 16:20:06,put,79.52,4.15,4107.203840181573,debit card,INR
2023-10-12 08:25:09,mother,82.6,8.97,915.7,UPI,INR
2023-10-04 03:33:10,bad,79.22,7.28,519.0,debit card,USD
2023-10-06 00:02:26,hotel,85.56,7.56,93.12,credit card,INR
2024-01-03 07:42:52,somebody,31.42,1.76,265.44,,INR
2023-05-17 02:48:06,with,59.56,7.27,668.3,UPI,INR
2023-09-23 12:54:47,race,25.37,3.2,28.57,debit card,USD
2023-08-15 00:37:49,eight,31.73,1.93,269.28,UPI,INR
2024-04-21 05:12:55,story,49.63,5.29,109.84,cash,USD
2023-08-11 20:02:01,military,90.78,5.38,673.12,credit card,USD
2024-04-21 18:36:31,matter,66.94,3.73,494.69,credit card,USD
2023-07-10 02:23:13,red,36.58,1.95,115.59,cash,INR
2023-06-19 00:39:24,window,79.36,5.66,340.08,cash,INR
2024-01-10 05:28:29,week,27.34,2.62,149.8,UPI,USD
2023-06-21 04:17:16,stock,93.36,6.29,896.85,cash,INR
2023-06-24 13:27:26,look,40.23,5.41,136.92,UPI,USD
2023-09-28 02:19:40,west,8.39,0.97,74.88,cash,USD
2023-06-20 12:44:29,before,30.77,2.08,164.25,credit card,INR
2023-10-03 08:49:33,provide,16.94,1.32,146.08,credit card,INR
2023-10-03 00:52:24,anything,97.47,8.86,637.98,credit card,INR
2024-01-15 17:56:56,hear,89.41,7.04,771.6,credit card,USD
2024-03-18 13:16:43,want,29.37,2.77,160.7,debit card,USD
2024-04-28 02:08:57,Mr,45.7,3.37,441.63,debit card,INR
2024-02-21 18:17:52,audience,82.54,10.74,652.96,debit card,USD
2023-10-10 16:11:36,subject,25.75,1.83,55.16,debit card,INR
2024-02-15 05:48:20,site,79.68,8.4,704.64,credit card,USD
2023-10-07 07:03:18,amount,52.25,6.46,528.39,debit card,USD
2023-07-11 12:31:36,size,2.0,0.17,15.19,cash,USD
2023-10-27 18:16:20,spring,91.43,10.82,409.0,cash,USD
2023-08-22 04:54:39,tough,46.7,6.01,368.97,cash,USD
2023-09-28 00:47:02,customer,14.05,2.06,16.11,cash,USD
2023-10-27 10:37:08,agreement,53.71,4.32,58.03,debit card,INR
2024-03-06 22:58:30,shoulder,30.91,3.15,136.24,cash,INR
2023-11-27 05:42:17,want,69.33,4.5,73.83,UPI,USD
2023-11-30 22:53:26,give,14.35,0.91,76.3,debit card,INR
2023-12-13 22:57:49,past,9.11,0.93,50.2,UPI,INR
2024-03-11 19:17:02,start,11.22,1.2,49.68,debit card,USD
2023-11-14 19:30:04,board,41.05,5.42,278.82,credit card,INR
2023-11-16 07:34:10,thought,58.33,4.75,315.4,credit card,INR
2024-02-05 03:11:51,young,15.03,2.15,51.54,credit card,USD
2024-04-12 12:31:51,wife,74.35,9.13,500.88,UPI,USD
2024-03-23 19:15:41,against,37.0,4.5,373.5,UPI,USD
2024-02-09 11:20:59,citizen,35.08,3.83,77.82,credit card,INR
2023-08-22 08:04:31,check,63.16,6.41,626.13,credit card,INR
2024-04-20 07:51:59,statement,82.07,5.33,87.4,credit card,INR
2024-04-27 11:55:04,sure,52.77,3.81,169.74,UPI,USD
2023-08-30 00:56:43,one,41.2,4.28,1469.4058251654988,credit card,INR
2023-06-15 01:40:50,close,80.3,6.16,864.6,,USD
2024-02-10 11:50:31,tonight,52.28,2.78,275.3,UPI,USD
2024-04-30 07:02:47,color,39.04,5.06,396.9,UPI,USD
2024-02-22 15:28:40,speak,98.88,11.13,660.06,UPI,USD
2023-05-26 11:50:48,over,67.41,9.87,540.96,credit card,INR
2024-02-29 14:55:23,level,25.34,3.24,142.9,credit card,USD
2024-03-31 19:13:16,poor,76.24,7.43,83.67,cash,INR
2024-03-20 10:28:51,family,95.18,10.57,1057.5,debit card,USD
2024-05-11 13:17:09,unit,77.39,7.92,170.62,UPI,INR
2024-02-20 09:01:39,family,21.58,2.22,95.2,UPI,USD
2024-04-19 16:17:23,my,25.61,2.59,253.8,UPI,USD
2023-07-23 12:57:01,yet,47.49,2.96,252.25,UPI,INR
2023-09-19 12:41:00,something,80.96,11.75,278.13,debit card,USD
2024-03-06 09:42:33,southern,88.87,9.72,197.18,debit card,INR
2023-12-23 08:14:51,good,93.03,9.74,1027.7,credit card,INR
2023-08-15 03:36:31,read,4.5,0.26,4.76,credit card,INR
2023-06-17 23:07:40,blue,78.31,7.38,599.83,credit card,INR
2023-11-06 01:35:34,stay,89.12,13.2,716.24,debit card,INR
2024-01-23 15:48:05,mother,20.05,2.47,135.12,UPI,USD
2024-02-10 04:52:15,get,57.98,7.56,524.32,cash,INR
2023-07-18 09:05:19,have,92.7,10.43,618.78,UPI,USD
2023-07-21 01:18:28,thank,31.42,4.55,215.82,UPI,USD
2023-07-09 17:10:57,success,97.48,5.03,205.02,cash,USD
2024-02-23 08:32:10,less,86.4,11.46,685.02,debit card,USD
2024-01-29 11:05:25,else,53.75,3.95,461.6,UPI,INR
2023-05-26 10:44:28,defense,79.31,10.79,450.5,cash,USD
2024-01-09 04:11:50,budget,4.69,0.41,5.1,credit card,USD
2023-10-16 02:24:27,health,37.86,4.69,85.1,credit card,USD
2024-04-13 05:49:14,discover,47.01,6.62,268.15,UPI,INR
2023-08-04 17:13:53,edge,97.24,13.88,1000.08,UPI,INR
2023-07-29 20:50:16,boy,24.23,2.01,104.96,debit card,USD
2024-01-18 07:03:43,officer,20.04,1.86,131.4,cash,USD
2023-06-18 18:44:04,story,77.6,4.34,81.94,,USD
2023-09-07 09:47:13,story,17.23,1.64,113.22,credit card,INR
2024-04-30 03:49:06,might,62.08,6.64,206.16,credit card,USD
2023-11-06 18:56:47,couple,85.77,10.35,480.6,cash,USD
2023-09-15 15:26:54,such,53.24,4.59,57.83,cash,INR
2024-05-06 16:57:18,six,12.05,1.19,132.4,cash,USD
2023-11-11 12:48:50,general,99.05,7.24,425.16,UPI,INR
2023-08-14 10:18:08,health,35.27,4.78,40.05,debit card,INR
2023-08-10 05:07:50,card,29.99,2.83,328.2,cash,USD
2024-01-21 23:53:37,national,21.64,1.6,232.4,credit card,USD
2024-03-14 21:29:49,room,45.5,2.55,240.25,UPI,INR
2023-07-10 13:38:12,certain,80.46,8.54,356.0,cash,USD
2023-05-23 13:22:37,similar,68.87,9.59,549.22,debit card,INR
2024-01-10 05:43:52,leave,92.56,10.1,410.64,cash,INR
2023-12-28 03:08:32,specific,75.18,5.84,81.02,credit card,USD
2023-10-19 07:52:52,value,71.82,7.16,236.94,credit card,INR
2024-03-23 16:56:01,decision,28.78,1.79,213.99,credit card,USD
2023-12-20 19:15:12,receive,6.38,0.6,48.86,credit card,USD
2024-04-20 20:46:03,center,29.45,3.46,164.55,UPI,INR
2023-06-30 20:36:06,question,78.18,8.45,779.67,credit card,USD
2023-12-23 10:42:00,a,32.7,2.85,284.4,debit card,USD
2023-07-06 22:03:11,movement,77.43,8.82,517.5,debit card,INR
2024-01-20 07:08:44,dinner,25.49,2.15,276.4,cash,INR
2023-06-27 17:16:56,top,85.66,11.92,2724.8142635496124,credit card,INR
2023-10-13 20:48:54,human,16.97,2.18,19.15,cash,USD
2023-07-02 14:49:53,into,83.44,4.85,176.58,credit card,USD
2023-05-18 08:16:12,senior,87.63,13.13,201.52,debit card,USD
2024-04-10 11:38:04,record,31.71,3.52,1761.2168029087504,UPI,USD
2024-01-12 17:25:29,under,28.27,3.99,96.78,cash,USD
2023-07-18 18:48:39,another,89.0,12.48,202.96,cash,INR
2024-03-03 21:17:29,her,69.55,7.53,616.64,credit card,INR
2023-11-02 08:52:31,alone,20.13,1.78,175.28,debit card,INR
2023-12-29 06:45:42,full,21.48,2.98,146.76,debit card,USD
2024-02-18 08:30:17,spend,69.37,10.04,794.1,UPI,USD
2024-01-18 19:22:52,city,33.48,4.62,190.5,debit card,INR
2024-05-07 15:24:53,tax,98.27,12.94,444.84,credit card,INR
2024-04-14 22:04:56,star,75.92,6.84,496.56,credit card,USD
2023-11-01 09:25:17,happen,38.35,3.69,126.12,UPI,INR
2023-10-14 08:43:10,sell,89.78,12.26,816.32,credit card,INR
2023-11-12 15:25:28,Congress,88.23,5.2,840.87,debit card,INR
2024-03-16 19:00:20,but,64.85,6.59,428.64,UPI,USD
2023-06-20 17:28:13,man,89.02,6.6,286.86,UPI,INR
2024-03-24 13:53:05,owner,79.67,8.15,702.56,UPI,INR
2023-10-25 23:22:04,season,19.82,2.39,222.1,credit card,USD
2023-08-16 22:49:32,week,33.76,4.85,347.49,UPI,USD
2023-11-21 04:17:15,dinner,61.92,7.45,693.7,UPI,USD
2024-01-22 18:36:40,picture,2.05,0.2,2.25,debit card,INR
2023-11-11 04:27:47,agency,43.52,4.73,96.5,cash,INR
2023-08-01 01:02:25,draw,88.85,10.87,99.72,debit card,USD
2023-06-27 22:18:05,kitchen,79.79,11.12,363.64,debit card,USD
2023-10-11 01:48:56,could,56.18,3.0,414.26,,USD
2024-02-26 17:51:41,lose,41.73,4.75,325.36,cash,INR
2023-10-03 21:34:46,agency,15.5,1.01,165.1,debit card,USD
2023-11-24 00:34:29,rock,5.12,0.39,5.51,UPI,INR
2023-06-02 20:06:58,become,87.77,4.87,370.56,cash,USD
2023-06-17 07:43:16,pattern,10.44,1.19,69.78,credit card,INR
2023-10-20 04:20:22,minute,56.64,3.42,360.36,UPI,USD
2023-05-19 20:09:16,itself,71.56,10.62,246.54,UPI,INR
2023-10-21 07:17:53,TV,36.25,4.96,329.68,cash,INR
2023-09-19 23:26:52,short,8.22,0.96,18.36,cash,USD
2024-01-10 14:03:47,consider,89.91,12.24,715.05,cash,INR
2023-09-01 16:15:35,land,94.84,11.49,850.64,credit card,USD
2024-02-20 03:36:34,box,94.22,6.59,1008.1,cash,INR
2024-03-18 05:12:23,trial,60.11,3.24,633.5,debit card,USD
2023-10-17 14:20:44,father,69.3,7.08,381.9,debit card,INR
2023-10-26 16:46:51,interest,75.57,10.38,85.95,debit card,INR
2023-10-01 16:44:57,commercial,3.67,0.28,3.95,credit card,USD
2023-07-02 09:38:14,none,16.82,1.85,56.01,credit card,INR
2023-07-12 17:13:54,political,11.99,0.89,77.28,credit card,INR
2023-05-23 00:11:48,PM,38.9,5.22,352.96,cash,INR
2023-10-07 10:57:57,bed,44.86,3.04,143.7,credit card,INR
2024-04-26 15:24:56,environmental,65.07,6.18,213.75,cash,INR
2024-03-04 00:33:22,series,93.22,6.95,100.17,credit card,USD
2024-03-10 14:21:58,pass,5.62,0.29,29.55,cash,INR
2023-09-06 17:35:35,home,19.75,1.57,85.28,credit card,INR
2023-06-28 05:52:54,gas,52.48,3.25,55.73,debit card,USD
2024-01-14 21:21:28,today,80.5,10.62,455.6,UPI,INR
2023-11-11 16:56:08,raise,90.97,12.22,412.76,credit card,USD
2024-03-16 08:41:36,range,43.23,4.66,143.67,UPI,INR
2023-11-21 16:47:24,hotel,48.25,6.06,54.31,credit card,INR
2024-02-24 18:13:30,during,56.38,6.61,440.93,credit card,INR
2023-06-01 15:10:55,culture,84.53,6.68,91.21,cash,INR
2023-11-18 06:54:51,memory,5.85,0.66,39.06,debit card,USD
2023-12-13 12:26:10,organization,45.28,3.72,392.0,,INR
2023-12-29 13:32:50,debate,39.41,3.67,387.72,UPI,INR
2024-04-03 17:11:42,here,92.77,5.87,591.84,cash,INR
2024-01-05 22:09:34,lose,8.02,1.17,73.52,debit card,INR
2024-02-16 09:02:59,determine,13.32,0.95,42.81,cash,USD
2023-12-10 18:06:21,anyone,24.41,2.14,185.85,UPI,USD
2024-01-29 10:13:07,he,50.54,6.51,171.15,credit card,INR
2023-05-31 00:08:10,own,25.68,3.14,57.64,credit card,INR
2024-03-02 12:25:27,order,91.63,11.29,823.36,cash,USD
2023-06-04 09:28:00,every,65.86,5.44,641.7,cash,INR
2024-01-05 18:32:04,either,94.34,9.59,727.51,credit card,INR
2023-10-09 19:31:42,up,45.14,2.49,428.67,credit card,INR
2023-09-28 07:42:41,product,10.08,1.49,57.85,credit card,USD
2023-10-11 09:29:04,price,72.73,5.09,77.82,cash,INR
2023-11-17 22:19:53,loss,10.37,1.31,70.08,credit card,INR
2024-02-22 02:15:57,everybody,58.48,3.58,434.42,credit card,INR
2023-09-01 01:17:56,every,19.98,1.42,781.2856139659999,UPI,INR
2023-10-25 22:04:31,power,35.76,4.14,399.0,credit card,USD
2023-11-20 03:45:28,appear,47.2,6.45,268.25,UPI,INR
2023-12-18 12:20:26,I,69.98,10.35,80.33,credit card,USD
2023-10-22 17:29:16,whose,2.57,0.36,2.93,debit card,USD
2023-11-05 07:30:02,huge,7.85,0.54,67.12,debit card,USD
2023-12-23 06:20:14,management,87.96,12.35,902.79,debit card,USD
2024-04-13 07:05:47,work,15.98,1.06,119.28,credit card,INR
2023-09-09 03:40:11,whether,43.15,5.08,96.46,cash,INR
2024-02-17 03:43:09,thought,22.5,2.65,50.3,UPI,USD
2023-09-21 11:19:07,current,17.77,2.5,182.43,UPI,INR
2023-06-10 23:53:23,begin,25.73,3.77,147.5,credit card,INR
2023-07-12 11:16:13,learn,23.54,1.82,202.88,cash,INR
2024-01-18 13:49:59,authority,16.57,1.16,106.38,cash,INR
2023-06-13 04:23:37,girl,90.73,8.84,398.28,debit card,INR
2023-08-04 22:02:02,without,50.66,3.47,216.52,debit card,USD
2023-08-19 02:34:58,participant,70.27,6.51,383.9,debit card,INR
2023-07-27 05:43:04,my,54.12,3.93,2046.1116760384114,UPI,USD
2023-09-24 22:01:51,go,48.89,6.3,275.95,debit card,INR
2023-06-03 10:17:52,style,85.78,6.05,275.49,UPI,INR
2023-12-06 19:04:48,often,79.08,4.27,750.15,cash,USD
2024-04-29 09:32:05,something,24.59,2.16,214.0,cash,INR
2023-07-07 07:42:14,off,51.03,5.92,284.75,debit card,INR
2024-03-11 02:14:17,stage,79.55,11.66,91.21,cash,INR
2023-08-18 08:01:24,laugh,26.2,3.68,298.8,credit card,INR
2024-05-04 08:09:40,who,61.19,4.69,131.76,,USD
2024-02-20 13:39:36,wind,87.58,8.47,672.35,debit card,USD
2024-01-21 05:56:00,may,64.39,8.03,362.1,credit card,USD
2023-12-20 15:31:05,why,64.54,6.47,284.04,debit card,USD
2023-06-14 16:07:55,fire,44.2,5.81,350.07,credit card,USD
2023-06-21 04:26:26,stock,83.41,8.91,553.92,debit card,INR
2023-09-07 05:17:22,loss,7.64,0.41,56.35,UPI,USD
2023-10-09 07:56:17,billion,76.23,4.52,565.25,UPI,INR
2024-01-09 22:51:32,stage,79.89,9.87,269.28,cash,USD
2023-09-13 13:02:38,stay,29.98,1.74,31.72,UPI,INR
2024-02-25 02:35:20,according,21.35,1.09,112.2,cash,INR
2023-07-20 06:45:04,sense,84.85,5.0,539.1,UPI,USD
2024-02-16 01:51:43,choice,97.07,14.21,667.68,debit card,INR
2023-10-06 16:24:47,message,89.46,11.44,908.1,debit card,USD
2024-01-31 06:51:54,whose,9.87,1.42,45.16,UPI,INR
2023-07-01 00:52:54,treatment,94.79,12.71,107.5,UPI,USD
2024-05-10 04:04:23,them,86.42,10.13,1907.430437155532,UPI,INR
2023-12-11 08:43:52,environment,40.85,3.43,132.84,cash,USD
2023-12-25 23:50:00,return,79.76,9.01,266.31,debit card,USD
2023-12-01 07:55:02,decide,53.54,4.61,116.3,cash,USD
2024-02-11 14:01:42,kind,14.31,1.19,93.0,cash,USD
2023-09-01 15:05:24,fine,25.16,2.6,222.08,debit card,USD
2023-09-24 23:49:50,reveal,83.38,10.66,846.36,cash,USD
2023-07-20 03:41:09,magazine,1.86,0.18,14.28,debit card,INR
2024-01-07 04:38:08,choose,24.23,1.35,25.58,cash,USD
2023-08-02 00:06:30,brother,67.28,8.91,380.95,credit card,USD
2023-08-05 21:53:29,why,2.84,0.23,6.14,credit card,USD
2024-04-20 03:38:45,realize,30.32,2.6,2632.8651074842282,credit card,USD
2024-04-18 10:40:16,short,95.94,4.87,1008.1,cash,INR
2024-02-24 17:50:54,hair,30.28,2.19,32.47,cash,USD
2023-11-27 15:44:38,meeting,37.31,3.89,370.8,credit card,USD
2023-12-04 11:00:45,door,2.59,0.31,2.9,debit card,USD
2024-03-08 01:26:51,record,91.09,10.49,1015.8,cash,USD
2023-08-09 16:38:06,north,12.32,1.8,142.75311082668557,credit card,INR
2023-10-31 00:26:40,customer,81.43,7.38,888.1,credit card,INR
2024-03-14 13:24:55,across,76.22,8.35,253.71,debit card,USD
2024-02-22 23:00:14,against,4.71,0.64,21.4,debit card,INR
2023-10-19 16:50:55,director,94.68,4.98,398.64,debit card,INR
2024-02-18 16:22:28,as,41.37,3.78,270.9,cash,INR
2023-05-31 23:03:09,pretty,57.49,7.01,645.0,cash,USD
2024-01-25 01:02:11,property,50.75,6.73,229.92,debit card,INR
2024-05-04 18:20:23,court,69.6,7.7,231.9,cash,INR
2024-03-24 10:11:22,tonight,18.38,1.57,119.7,UPI,INR
2023-09-03 05:50:37,ago,62.16,6.65,550.48,debit card,INR
2023-05-31 06:04:47,contain,25.43,1.94,1412.3196856614286,UPI,USD
2024-01-09 19:41:03,picture,95.39,7.01,307.2,credit card,USD
2024-02-01 00:28:05,Democrat,44.98,2.93,95.82,UPI,USD
2023-08-16 04:34:10,seven,56.32,6.86,505.44,debit card,INR
2024-01-30 09:30:33,not,90.44,12.18,205.24,UPI,INR
2024-03-04 17:22:17,moment,35.39,4.9,402.9,debit card,USD
2023-12-07 18:19:38,none,1.58,0.13,6.84,credit card,INR
2023-11-11 17:33:11,serious,31.24,2.89,102.39,credit card,INR
2023-06-26 20:24:06,somebody,91.23,7.91,198.28,debit card,INR
2023-05-21 11:12:15,fall,3.88,0.55,39.87,UPI,USD
2024-01-12 17:24:07,wear,40.13,2.86,300.93,credit card,USD
2024-01-11 11:43:55,impact,27.59,1.82,29.41,debit card,INR
2023-06-14 05:29:54,wonder,66.21,3.96,70.17,credit card,INR
2024-03-25 11:45:10,class,58.47,3.15,123.24,cash,INR
2024-03-03 04:15:39,charge,55.24,3.21,116.9,cash,INR
2024-02-19 10:21:33,those,71.03,5.79,614.56,debit card,USD
2023-08-14 20:49:41,throughout,77.1,10.38,612.36,credit card,INR
2023-11-25 21:48:07,natural,95.6,9.72,1512.5400704420733,debit card,USD
2023-05-26 18:27:38,simply,26.5,1.89,113.56,cash,INR
2023-09-03 10:24:08,affect,67.38,9.1,76.48,credit card,INR
2024-01-19 04:08:56,deep,16.4,1.49,1032.823385355525,debit card,INR
2023-12-26 13:45:47,daughter,61.18,4.0,130.36,UPI,USD
2023-11-11 01:19:43,bill,9.06,0.6,57.96,cash,INR
2023-12-07 19:15:30,others,93.42,6.22,199.28,cash,USD
2023-11-07 01:31:11,smile,7.72,0.63,75.15,debit card,USD
2024-04-01 14:53:43,turn,13.9,2.06,159.6,debit card,USD
2023-08-27 02:29:38,however,71.93,9.82,572.25,cash,USD
2023-08-11 09:22:04,group,85.06,11.64,5094.390935779797,credit card,INR
2023-08-27 23:26:42,standard,5.91,0.84,40.5,debit card,USD
2023-12-31 03:12:09,level,66.74,4.01,283.0,cash,USD
2023-06-30 02:12:59,natural,1.25,0.09,6.7,debit card,INR
2023-06-02 09:42:02,make,45.36,3.23,242.95,UPI,INR
2023-12-18 05:45:26,himself,70.02,8.35,470.22,debit card,USD
2024-01-24 16:08:42,like,5.15,0.54,34.14,cash,INR
2023-06-27 05:05:31,actually,10.97,1.2,12.17,cash,USD
2023-09-14 10:29:42,officer,92.3,12.98,526.4,UPI,INR
2024-02-25 10:13:30,total,82.2,5.8,792.0,credit card,USD
2024-02-18 04:29:19,raise,9.32,1.39,10.71,credit card,INR
2023-09-12 04:28:18,far,64.62,6.2,566.56,UPI,USD
2024-02-07 18:04:12,sea,21.37,2.19,117.8,debit card,INR
2024-04-18 16:27:21,brother,59.19,5.5,323.45,credit card,INR
2023-09-02 15:20:16,control,73.66,6.69,642.8,credit card,INR
2024-02-13 21:24:36,hour,51.6,7.23,117.66,credit card,USD
2024-02-25 07:49:33,process,36.83,3.04,39.87,cash,USD
2023-11-02 02:21:57,push,23.78,2.91,133.45,credit card,USD
2024-04-02 13:54:58,care,32.48,3.41,358.9,UPI,USD
2023-05-30 12:17:07,maintain,6.42,0.73,42.9,cash,INR
2023-08-29 20:19:17,after,60.65,8.7,138.7,debit card,INR
2023-10-28 23:18:12,hard,8.01,0.53,8.54,UPI,USD
2023-06-12 10:09:34,process,40.61,4.22,179.32,UPI,INR
2024-02-07 00:11:05,imagine,98.63,11.97,663.6,debit card,INR
2023-06-18 06:34:02,change,47.79,5.31,53.1,debit card,INR
2023-12-29 04:38:02,easy,5.48,0.5,29.9,cash,USD
2023-05-24 07:29:11,glass,67.09,8.73,606.56,cash,USD
2023-12-14 15:58:53,feel,52.64,6.54,4928.560332271278,UPI,INR
2023-07-09 23:27:47,class,62.82,3.98,467.6,cash,USD
2023-11-02 14:19:42,data,8.92,0.84,78.08,cash,INR
2023-07-18 21:04:01,job,80.98,11.37,741.5366507792969,cash,INR
2023-09-15 06:28:15,conference,65.64,9.74,376.9,credit card,USD
2023-08-26 11:38:13,have,51.87,3.66,55.53,credit card,USD
2024-04-12 16:00:19,two,12.05,0.69,63.7,cash,INR
2023-06-04 15:23:07,any,89.49,10.46,999.5,UPI,INR
2023-09-29 23:16:26,western,46.28,4.07,251.75,debit card,INR
2023-07-24 03:05:30,coach,85.73,12.78,394.04,cash,USD
2023-11-28 20:45:56,want,87.59,10.7,688.03,UPI,USD
2024-02-15 12:09:40,man,77.1,6.79,419.45,cash,INR
2023-12-19 07:42:38,across,89.08,11.06,901.26,debit card,USD
2023-07-09 16:39:24,together,43.42,4.75,289.02,cash,INR
2023-09-09 12:45:33,street,96.18,5.65,101.83,credit card,INR
2023-11-16 12:38:16,miss,18.84,1.44,121.68,credit card,USD
2024-04-30 06:05:35,eat,85.22,9.31,850.77,UPI,INR
2023-11-19 06:10:09,figure,73.2,10.81,420.05,credit card,USD
2024-04-28 11:58:44,learn,42.72,4.5,236.1,UPI,USD
2024-01-25 15:23:49,ten,86.56,8.26,94.82,cash,USD
2024-04-09 23:30:08,reflect,99.57,8.0,215.14,debit card,INR
2023-11-12 13:08:14,station,2.68,0.25,23.44,UPI,INR
2023-06-20 09:01:49,pretty,6.62,0.94,52.92,UPI,INR
2024-02-23 17:24:14,find,92.0,4.85,290.55,cash,USD
2023-09-26 20:09:28,standard,28.93,1.79,307.2,UPI,INR
2023-11-08 07:18:48,maintain,49.28,6.03,497.79,cash,INR
2024-05-06 04:53:00,drop,88.38,8.94,681.24,credit card,USD
